District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
275,Bishnupur,237399,226,676,Manipur,24.50712111801243,93.8246236024845,66.0,100.0
276,Thoubal,422168,539,880,Manipur,24.545392553191498,93.97959893617023,64.0,100.0
279,Ukhrul,183998,79,276,Manipur,25.05900314960629,94.44129566929138,71.0,94.0
280,Chandel,144182,250,184,Manipur,24.2635812987013,94.09443844155844,63.0,93.0
281,Mamit,86364,94,90,Mizoram,23.73852942502819,92.4330803833147,70.0,93.0
282,Kolasib,83955,142,367,Mizoram,24.2020004347826,92.73470391304348,78.0,96.0
283,Aizawl,400309,963,4019,Mizoram,23.90781335453101,92.85359459459472,85.0,101.0
284,Champhai,125745,187,186,Mizoram,23.54166580976866,93.24221799485862,80.0,98.0
285,Serchhip,64937,118,131,Mizoram,23.263864705882344,92.914158496732,84.0,98.0
286,Lunglei,161428,274,482,Mizoram,23.007717036172675,92.63512555425892,75.0,95.0
287,Lawngtlai,117894,242,162,Mizoram,22.36102843137253,92.66964156862753,53.0,95.0
288,Saiha,56574,88,168,Mizoram,22.35744801061008,93.02827931034489,75.0,98.0
289,West Tripura,1725739,2817,6394,Tripura,23.780166241299337,91.41310788863107,79.0,96.0
290,South Tripura,876001,1118,948,Tripura,23.211874098057383,91.6065807585568,74.0,96.0
291,Dhalai,378230,455,273,Tripura,23.781360477941163,91.94654283088232,73.0,94.0
292,North Tripura,693947,848,997,Tripura,24.121739755351683,92.17842538226292,75.0,97.0
293,West Garo Hills,643291,791,1630,Meghalaya,25.495285185185185,90.03709947089942,56.0,98.0
294,East Garo Hills,317917,450,288,Meghalaya,25.82728228228228,90.64684924924916,60.0,97.0
295,South Garo Hills,142334,139,179,Meghalaya,25.240568578553614,90.64560349127176,58.0,95.0
296,West Khasi Hills,383461,479,149,Meghalaya,25.500889926739926,91.25364542124538,60.0,98.0
298,East Khasi Hills,825922,1456,5032,Meghalaya,25.303763888888884,91.75922519841272,70.0,101.0
299,Jaintia Hills,395124,528,510,Meghalaya,25.33959557069844,92.37608160136298,47.0,101.0
300,Kokrajhar,887142,348,1218,Assam,26.497246635730868,90.13997470997688,55.0,96.0
302,Goalpara,1008183,348,1364,Assam,26.017277777777807,90.59869891598912,56.0,96.0
303,Barpeta,1693622,348,2078,Assam,26.427872264631056,90.97912010178116,53.0,95.0
305,Nagaon,2823768,348,5121,Assam,26.26462170626351,92.9306191144708,61.0,96.0
306,Sonitpur,1924110,348,4358,Assam,26.73514926829268,92.85197804878044,58.0,96.0
307,Lakhimpur,1042137,348,1948,Assam,27.14128805970149,94.0775949253732,66.0,97.0
308,Dhemaji,686133,348,1192,Assam,27.586533438485816,94.71336908517353,62.0,95.0
309,Tinsukia,1327929,348,5135,Assam,27.53549291139241,95.69055949367085,60.0,95.0
310,Dibrugarh,1326335,348,8817,Assam,27.30612284482757,95.0998282327587,67.0,96.0
312,Jorhat,1092256,348,5651,Assam,26.76244824016563,94.30197722567289,73.0,96.0
313,Golaghat,1066888,348,3073,Assam,26.377219709794485,93.82583397823468,68.0,96.0
314,Karbi Anglong,956313,348,1923,Assam,26.08966454598031,93.11536570271832,58.0,95.0
316,Cachar,1736617,348,5316,Assam,24.815570668693017,92.86849650455927,68.0,96.0
317,Karimganj,1228686,348,1933,Assam,24.69660712250711,92.3679498575498,65.0,96.0
318,Hailakandi,659296,348,1211,Assam,24.457496089385486,92.59154664804475,62.0,95.0
319,Bongaigaon,738804,348,2523,Assam,26.45012521994133,90.6734296187684,59.0,97.0
321,Kamrup,1517542,348,3109,Assam,26.170939452054807,91.58863273972592,66.0,95.0
323,Nalbari,771639,348,1631,Assam,26.46323767605632,91.40598521126763,69.0,95.0
325,Darrang,928500,348,1166,Assam,26.58463215962442,92.04141338028155,52.0,95.0
327,Darjiling,1846823,3146,10943,West Bengal,26.839619571045585,88.33145067024122,71.0,97.0
328,Jalpaiguri,3872846,5160,9322,West Bengal,26.62642031250004,89.04154375000003,65.0,95.0
